study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
KorthBradley2012	all	30.0	NA	species	30.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	all	30.0	NA	healthy	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	all	30.0	NA	sex	29.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	all	30.0	NA	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	all	30.0	NA	ethnicity	14.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	all	30.0	NA	ethnicity	16.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	white
KorthBradley2012	all	30.0	NA	age	30.0	NA	NA	31.0	NA	8.0	NA	NA	NA	years	NA
KorthBradley2012	all	30.0	NA	weight	30.0	NA	NA	79.0	NA	12.0	NA	50.0	NA	kg	NA
KorthBradley2012	all	30.0	NA	bmi	30.0	NA	NA	25.2	NA	3.4	NA	18.0	32.0	kg/m^2	NA
KorthBradley2012	all	30.0	NA	overnight fast	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	species	30.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	healthy	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	sex	29.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	ethnicity	14.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	nonshellac	30.0	all	ethnicity	16.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	white
KorthBradley2012	nonshellac	30.0	all	age	30.0	NA	NA	31.0	NA	8.0	NA	NA	NA	years	NA
KorthBradley2012	nonshellac	30.0	all	weight	30.0	NA	NA	79.0	NA	12.0	NA	50.0	NA	kg	NA
KorthBradley2012	nonshellac	30.0	all	bmi	30.0	NA	NA	25.2	NA	3.4	NA	18.0	32.0	kg/m^2	NA
KorthBradley2012	nonshellac	30.0	all	overnight fast	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	species	30.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	healthy	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	sex	29.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	ethnicity	14.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
KorthBradley2012	shellac	30.0	all	ethnicity	16.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	white
KorthBradley2012	shellac	30.0	all	age	30.0	NA	NA	31.0	NA	8.0	NA	NA	NA	years	NA
KorthBradley2012	shellac	30.0	all	weight	30.0	NA	NA	79.0	NA	12.0	NA	50.0	NA	kg	NA
KorthBradley2012	shellac	30.0	all	bmi	30.0	NA	NA	25.2	NA	3.4	NA	18.0	32.0	kg/m^2	NA
KorthBradley2012	shellac	30.0	all	overnight fast	30.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
