study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Bottiger2001	all	18.0	NA	species	18.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	Just as info:
Bottiger2001	all	18.0	NA	healthy	18.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	all	18.0	NA	sex	12.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	all	18.0	NA	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	all	18.0	NA	age	18.0	NA	NA	30.4	NA	NA	NA	20.0	43.0	years	NA
Bottiger2001	all	18.0	NA	weight	18.0	NA	NA	76.0	NA	NA	NA	55.0	92.8	kg	weighed mean of men and women
Bottiger2001	all	18.0	NA	overnight fast	18.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	all	18.0	NA	blood pressure diastolic	18.0	NA	NA	NA	NA	NA	NA	NA	60.0	mmHg	NA
Bottiger2001	M	12.0	all	sex	12.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	F	6.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Bottiger2001	M	12.0	all	weight	12.0	NA	NA	82.0	NA	NA	NA	55.0	92.8	kg	NA
Bottiger2001	F	6.0	all	weight	6.0	NA	NA	64.0	NA	NA	NA	55.0	92.8	kg	NA
