study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
BasaDenes2019	all	32.0	NA	species	32.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	all	32.0	NA	healthy	32.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	all	32.0	NA	age	32.0	NA	NA	51.8	52.0	7.6	NA	30.0	63.0	years	NA
BasaDenes2019	all	32.0	NA	ethnicity	30.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	all	32.0	NA	ethnicity	2.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	How to assign fasting? 
BasaDenes2019	all	32.0	NA	sex	27.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	all	32.0	NA	sex	5.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	all	32.0	NA	height	32.0	NA	NA	173.9	175.5	7.9	NA	153.0	186.0	cm	NA
BasaDenes2019	all	32.0	NA	weight	32.0	NA	NA	85.03	84.3	10.11	NA	69.0	109.7	kg	NA
BasaDenes2019	all	32.0	NA	bmi	32.0	NA	NA	28.08	27.7	2.44	NA	24.5	34.4	kg/m^2	NA
BasaDenes2019	all	32.0	NA	smoking	32.0	NA	N	NA	NA	NA	NA	NA	NA	NA	more complicated data on that
BasaDenes2019	all	32.0	NA	alcohol	32.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP05	8.0	all	age	8.0	NA	NA	52.3	50.0	6.6	NA	43.0	61.0	years	NA
BasaDenes2019	RAP05	8.0	all	ethnicity	7.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP05	8.0	all	ethnicity	1.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP05	8.0	all	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP05	8.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP05	8.0	all	height	8.0	NA	NA	169.5	170.0	7.1	NA	160.0	180.0	cm	NA
BasaDenes2019	RAP05	8.0	all	weight	8.0	NA	NA	79.95	76.5	8.66	NA	70.2	93.2	kg	NA
BasaDenes2019	RAP05	8.0	all	bmi	8.0	NA	NA	27.75	27.45	2.39	NA	24.7	31.1	kg/m^2	NA
BasaDenes2019	RAP2	8.0	all	age	8.0	NA	NA	50.5	54.0	10.8	NA	30.0	62.0	years	NA
BasaDenes2019	RAP2	8.0	all	ethnicity	8.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP2	8.0	all	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP2	8.0	all	height	8.0	NA	NA	177.8	180.0	5.8	NA	169.0	186.0	cm	NA
BasaDenes2019	RAP2	8.0	all	weight	8.0	NA	NA	87.25	84.3	7.94	NA	77.5	100.9	kg	NA
BasaDenes2019	RAP2	8.0	all	bmi	8.0	NA	NA	27.64	27.2	2.41	NA	24.5	31.1	kg/m^2	NA
BasaDenes2019	RAP10	8.0	all	age	8.0	NA	NA	55.6	55.5	4.1	NA	51.0	63.0	years	NA
BasaDenes2019	RAP10	8.0	all	ethnicity	7.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP10	8.0	all	ethnicity	1.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP10	8.0	all	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP10	8.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP10	8.0	all	height	8.0	NA	NA	174.0	176.0	10.4	NA	153.0	186.0	cm	NA
BasaDenes2019	RAP10	8.0	all	weight	8.0	NA	NA	86.95	81.6	13.9	NA	74.0	109.7	kg	NA
BasaDenes2019	RAP10	8.0	all	bmi	8.0	NA	NA	28.68	26.95	3.43	NA	25.1	34.4	kg/m^2	NA
BasaDenes2019	RAP40	8.0	all	age	8.0	NA	NA	49.0	48.5	7.1	NA	40.0	63.0	years	NA
BasaDenes2019	RAP40	8.0	all	ethnicity	8.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP40	8.0	all	sex	7.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP40	8.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
BasaDenes2019	RAP40	8.0	all	height	8.0	NA	NA	174.5	176.0	6.7	NA	159.0	180.0	cm	NA
BasaDenes2019	RAP40	8.0	all	weight	8.0	NA	NA	86.18	88.9	8.85	NA	69.0	94.5	kg	NA
BasaDenes2019	RAP40	8.0	all	bmi	8.0	NA	NA	28.24	28.35	1.54	NA	25.6	30.5	kg/m^2	NA
